robot_id,joint_name,avg_torque,avg_vibration,avg_temperature,avg_anomaly_score,count_anomalies
IRB_1200_01,Joint_1_Base,57.55,2.41,49.33,16.58,361
IRB_1200_01,Joint_2_Shoulder,57.96,2.49,49.61,17.38,374
IRB_1200_01,Joint_3_Elbow,57.7,2.44,49.38,16.93,378
IRB_1200_01,Joint_4_Wrist1,57.97,2.48,49.55,17.5,376
IRB_1200_01,Joint_5_Wrist2,57.89,2.48,49.65,17.89,411
IRB_1200_01,Joint_6_Flange,57.71,2.46,49.48,17.09,394
IRB_1200_02,Joint_1_Base,71.44,1.45,49.51,20.12,566
IRB_1200_02,Joint_2_Shoulder,71.25,1.37,49.37,19.81,535
IRB_1200_02,Joint_3_Elbow,71.3,1.4,49.35,19.46,499
IRB_1200_02,Joint_4_Wrist1,71.79,1.47,49.63,20.94,541
IRB_1200_02,Joint_5_Wrist2,71.51,1.43,49.6,20.4,563
IRB_1200_02,Joint_6_Flange,71.57,1.43,49.5,20.13,523
IRB_1200_03,Joint_1_Base,74.4,1.88,41.03,16.77,349
IRB_1200_03,Joint_2_Shoulder,74.21,1.87,40.95,16.72,342
IRB_1200_03,Joint_3_Elbow,74.36,1.88,40.98,16.45,317
IRB_1200_03,Joint_4_Wrist1,74.65,1.89,41.11,17.03,366
IRB_1200_03,Joint_5_Wrist2,74.47,1.9,41.02,17.04,337
IRB_1200_03,Joint_6_Flange,74.38,1.88,40.94,16.33,369
IRB_1200_04,Joint_1_Base,58.44,1.91,43.76,19.64,459
IRB_1200_04,Joint_2_Shoulder,57.94,1.82,43.16,18.02,395
IRB_1200_04,Joint_3_Elbow,58.0,1.86,43.39,18.46,406
IRB_1200_04,Joint_4_Wrist1,58.04,1.87,43.41,18.58,422
IRB_1200_04,Joint_5_Wrist2,58.13,1.86,43.51,18.65,435
IRB_1200_04,Joint_6_Flange,58.31,1.88,43.45,18.63,433
IRB_1200_05,Joint_1_Base,46.58,1.44,55.95,28.32,1247
IRB_1200_05,Joint_2_Shoulder,46.44,1.43,55.71,27.92,1330
IRB_1200_05,Joint_3_Elbow,46.32,1.39,55.71,27.91,1281
IRB_1200_05,Joint_4_Wrist1,46.63,1.44,55.87,28.13,1367
IRB_1200_05,Joint_5_Wrist2,46.51,1.44,55.92,28.3,1282
IRB_1200_05,Joint_6_Flange,46.38,1.43,55.82,27.49,1299
IRB_6700_01,Joint_1_Base,64.6,2.03,48.11,13.82,312
IRB_6700_01,Joint_2_Shoulder,65.08,2.08,48.41,14.99,350
IRB_6700_01,Joint_3_Elbow,64.62,2.01,48.16,13.92,334
IRB_6700_01,Joint_4_Wrist1,65.13,2.1,48.34,14.75,330
IRB_6700_01,Joint_5_Wrist2,64.9,2.09,48.35,14.58,357
IRB_6700_01,Joint_6_Flange,64.86,2.03,48.18,14.07,342
IRB_6700_02,Joint_1_Base,72.75,2.23,41.11,17.63,410
IRB_6700_02,Joint_2_Shoulder,72.56,2.2,41.18,17.2,395
IRB_6700_02,Joint_3_Elbow,72.58,2.2,40.84,17.1,384
IRB_6700_02,Joint_4_Wrist1,72.77,2.23,41.09,17.68,406
IRB_6700_02,Joint_5_Wrist2,73.2,2.3,41.34,17.63,387
IRB_6700_02,Joint_6_Flange,73.06,2.27,41.3,18.14,429
IRB_6700_03,Joint_1_Base,69.14,2.31,40.73,12.36,278
IRB_6700_03,Joint_2_Shoulder,69.56,2.35,40.97,13.05,297
IRB_6700_03,Joint_3_Elbow,69.78,2.41,41.15,14.01,323
IRB_6700_03,Joint_4_Wrist1,70.08,2.45,41.28,14.13,331
IRB_6700_03,Joint_5_Wrist2,69.69,2.38,41.07,13.09,288
IRB_6700_03,Joint_6_Flange,69.57,2.37,40.98,13.13,282
